,Size,EntryBar,ExitBar,EntryPrice,ExitPrice,SL,TP,PnL,ReturnPct,EntryTime,ExitTime,Duration,Tag
132,640,63042,63067,122.81,122.12,,130.47659999999996,-441.59999999999854,-0.005618434980864784,2016-08-26 09:36:00,2016-08-26 10:01:00,0 days 00:25:00,
133,417,63773,63806,123.46,122.4,,131.27619999999993,-442.01999999999504,-0.008585776769803877,2016-08-30 09:36:00,2016-08-30 10:09:00,0 days 00:33:00,
134,-1050,64150,64170,121.12,121.652,,114.93999999999996,-558.5999999999963,-0.004392338177014565,2016-08-31 09:36:00,2016-08-31 09:56:00,0 days 00:20:00,
135,752,64532,64557,122.22,121.62,,128.75999999999996,-451.1999999999957,-0.004909180166912108,2016-09-01 09:36:00,2016-09-01 10:01:00,0 days 00:25:00,
136,-1085,64912,64912,124.14,124.45,,120.17999999999999,-336.35000000000247,-0.0024971806025455567,2016-09-02 09:36:00,2016-09-02 09:36:00,0 days 00:00:00,
137,-723,65286,65286,123.6996,124.25,,118.49980000000004,-397.9391999999973,-0.004449488923165434,2016-09-06 09:36:00,2016-09-06 09:36:00,0 days 00:00:00,
138,-1092,66019,66382,124.72,124.0,125.07,116.93700000000007,786.2399999999988,0.0057729313662604476,2016-09-08 09:36:00,2016-09-08 16:00:00,0 days 06:24:00,
139,1152,66388,66409,121.03,120.6312,,126.86799999999992,-459.4175999999934,-0.003295050813847733,2016-09-09 09:36:00,2016-09-09 09:57:00,0 days 00:21:00,
140,229,66778,67160,114.27,120.68,112.55,130.5800000000001,1467.8900000000024,0.05609521309180021,2016-09-12 09:36:00,2016-09-12 16:00:00,0 days 06:24:00,
141,808,67166,67166,118.93,118.49,,126.10000000000008,-355.52000000000965,-0.003699655259396417,2016-09-13 09:36:00,2016-09-13 09:36:00,0 days 00:00:00,
142,337,67551,67931,118.9511,118.9,117.69,128.10000000000002,-17.22069999999698,-0.0004295882930043238,2016-09-14 09:36:00,2016-09-14 16:00:00,0 days 06:24:00,
143,504,67937,68320,120.014,124.7199,119.1,132.01000000000008,2371.7736,0.03921125868648656,2016-09-15 09:36:00,2016-09-15 16:00:00,0 days 06:24:00,
144,-569,68326,68676,123.98,124.7492,,113.79800000000002,-437.6747999999988,-0.006204226488143227,2016-09-16 09:36:00,2016-09-16 15:40:00,0 days 06:04:00,
145,-1336,69446,69451,124.912,125.2,,120.37999999999997,-384.7679999999956,-0.0023056231587037512,2016-09-21 09:36:00,2016-09-21 09:41:00,0 days 00:05:00,
146,831,69825,70199,129.49,130.28,128.96,134.86999999999992,656.4899999999934,0.006100857209050847,2016-09-22 09:36:00,2016-09-22 16:00:00,0 days 06:24:00,
147,-962,70587,70626,125.13,125.5472,,117.73199999999997,-401.3464000000079,-0.0033341325021978285,2016-09-26 09:36:00,2016-09-26 10:15:00,0 days 00:39:00,
148,651,70964,71320,124.55,128.1714,123.88,129.3718,2357.5314000000053,0.029075873143316056,2016-09-27 09:36:00,2016-09-27 16:00:00,0 days 06:24:00,
149,668,72083,72102,127.71,126.94,,136.61200000000002,-514.3599999999974,-0.006029285099052539,2016-09-30 09:36:00,2016-09-30 09:55:00,0 days 00:19:00,
150,957,72838,72873,129.59,129.1653,,134.57699999999994,-406.4379000000014,-0.00327725904776599,2016-10-04 09:36:00,2016-10-04 10:11:00,0 days 00:35:00,
151,-747,73583,73714,128.13,128.75,,123.16,-463.1400000000034,-0.004838835557636756,2016-10-06 09:36:00,2016-10-06 11:49:00,0 days 02:13:00,
152,-411,73938,74312,128.61,128.21,129.59,118.22999999999999,164.40000000000234,0.0031101780576938687,2016-10-07 09:36:00,2016-10-07 16:00:00,0 days 06:24:00,
153,1250,74318,74658,130.05,130.3079,129.68,133.73000000000005,322.37499999997254,0.001983083429450083,2016-10-10 09:36:00,2016-10-10 16:00:00,0 days 06:24:00,
154,-678,74664,75048,129.3872,124.54,130.04,122.88999999999993,3286.4016000000006,0.037462747474247826,2016-10-11 09:36:00,2016-10-11 16:00:00,0 days 06:24:00,
155,-397,75054,75107,123.7714,124.9434,,113.31600000000009,-465.28399999999885,-0.009469069591197865,2016-10-12 09:36:00,2016-10-12 10:29:00,0 days 00:53:00,
156,1488,75794,75906,125.07,124.71,,132.65020000000004,-535.6799999999992,-0.002878388102662499,2016-10-14 09:36:00,2016-10-14 11:30:00,0 days 01:54:00,
157,-1220,76163,76213,123.2761,123.56,,119.67999999999992,-346.3580000000033,-0.002302960590090164,2016-10-17 09:36:00,2016-10-17 10:26:00,0 days 00:50:00,
158,-902,76518,76651,126.36,126.93,,120.61999999999988,-514.1400000000067,-0.004510921177588001,2016-10-18 09:36:00,2016-10-18 11:53:00,0 days 02:17:00,
159,1167,77212,77215,125.1686,124.8,,128.893,-430.1562000000008,-0.0029448280159720674,2016-10-20 09:36:00,2016-10-20 09:39:00,0 days 00:03:00,
160,-633,77557,77577,124.98,125.632,,115.9999999999999,-412.71600000000063,-0.0052168346935510534,2016-10-21 09:36:00,2016-10-21 09:56:00,0 days 00:20:00,
161,1015,77908,77915,129.43,128.96,,134.1999999999999,-477.0499999999988,-0.00363130649772081,2016-10-24 09:36:00,2016-10-24 09:43:00,0 days 00:07:00,
